Ticker,Date,High,Low,Open,Close,Volume,Adj Close,signal,short_mavg,long_mavg,EMA21,EMA63,EMA252,ROC21,ROC63,MOM21,MOM63,RSI21,RSI63,RSI252,%K21,%D21,%K63,%D63,%K252,%D252,MA21,MA63,MA252
JINDALSTEL.NS,YYYY-00-DD 00:00:SS,85.4499969482422,79.1999969482422,83.6999969482422,80,10828818,80,1,90.659999593099,77.2579169273376,88.9324686155528,85.4171721230153,94.6470261533368,-11.9912005972582,15.2737726816453,-6.75,9.75,48.080689446571,50.7414882140234,55.1613244589908,-228.633230768244,-160.941052746913,-51.8051822951693,20.0588065873494,-461.038867013696,-417.81888638382,90.5999995640346,84.1690476432679,110.177579652695
,YYYY-00-DD 00:00:SS,82.8000030517578,74.5999984741211,82.1999969482422,77.8000030517578,12945160,77.8000030517578,1,90.0766662597656,77.23208360672,87.9204262915433,85.17906301848,94.4935687616755,-14.0806179682978,7.01513936396243,-13.0999984741211,8.40000152587891,46.8641132224669,50.3415287323482,55.0629599094407,-261.240189041534,-207.749335311357,-104.309941371086,-36.7109057254824,-491.285958181173,-450.725099702216,89.976190112886,84.3023810008216,109.840079640585
,YYYY-00-DD 00:00:SS,76.75,71.5,76.6999969482422,72.1999969482422,11858071,72.1999969482422,1,89.3183329264323,77.1770835558573,86.491296351207,84.7733474136971,94.2907435978736,-19.6438528944021,-3.21716028816203,-18.3500061035156,-0.5,45.651253308929,49.9415255370347,54.9645557482766,-367.838620612747,-285.904013474175,-235.658815092465,-130.591312919573,-582.442836288293,-511.589220494387,89.1023802984328,84.294444492885,109.520833620949
,YYYY-00-DD 00:00:SS,73.1999969482422,62,72.6999969482422,64,15515217,64,1,88.3883328755697,77.0641668637594,84.4466330465047,84.123994572925,94.0154891127394,-30.5103137238562,-13.5719144329181,-25.8499984741211,-10.5999984741211,44.443528278691,49.5415298264423,54.8661127299038,-486.824104783738,-371.967638146006,-411.055146679657,-250.341301047736,-712.109810486585,-595.27953498535,87.8714279901414,84.1261905488514,109.17817486657
,YYYY-00-DD 00:00:SS,64.9000015258789,59,62.3499984741211,60,15693048,60,1,87.2749994913737,76.9200001716614,82.2242118604124,83.3699107926044,93.7067524673995,-34.0659340659341,-20.3715975911971,-32.0999984741211,-14.0500030517578,43.2423325655211,49.1415927950983,54.7676316099383,-530.122869974577,-461.59519845702,-492.632844472372,-379.782268748164,-773.191874778545,-689.248173851141,86.3428566342308,83.9031746273949,108.789682827299
,YYYY-00-DD 00:00:SS,65.5999984741211,57,60,64.3499984741211,20381831,64.3499984741211,1,86.2999994913737,76.799166838328,80.5992833707186,82.7753789412665,93.4406118628116,-29.8255173220541,-14.31424796061,-26.6500015258789,-11,48.2599683422456,50.4939136307412,55.021071987209,-380.347646901196,-465.764873886503,-380.457159242929,-428.048383464986,-694.628239112844,-726.643308125991,85.0738089425223,83.7285714527917,108.438492320833
,YYYY-00-DD 00:00:SS,62.7000007629395,59.7999992370605,61.7999992370605,61.0499992370605,12411540,61.0499992370605,1,85.3699995676676,76.6770835240682,78.8220757221735,82.0962842313322,93.1473075030007,-32.5786889237709,-18.6542348373287,-30.6499977111816,-14.0499992370606,47.0429660654939,50.0939210529633,54.9226511914237,-416.265618044787,-442.245378306853,-447.162226786281,-440.08407683386,-745.284830372034,-737.701648087807,83.6142852419899,83.505555591886,108.08789710393
,YYYY-00-DD 00:00:SS,64.4000015258789,61.2000007629395,62.0999984741211,62.6500015258789,10154963,62.6500015258789,1,84.6249996185303,76.5770835240682,77.3518871588509,81.4884347690774,92.8714647090004,-32.1602571077085,-16.8546744597533,-27.9000015258789,-12.4000015258789,47.9766224247522,50.3285274558027,54.9533994469527,-357.501127387356,-384.704797444446,-406.072102775719,-411.230496268309,-715.105652296842,-718.33957392724,82.2857137407575,83.3087301708403,107.746230443319
,YYYY-00-DD 00:00:SS,66.6999969482422,63.5,64.25,66.0500030517578,7780882,66.0500030517578,1,83.9149997711182,76.5020835240682,76.3244431491004,81.0058660095401,92.6291454514289,-28.5173138950015,-13.1492433908178,-26.2999954223633,-9.29999542236328,50.9852623402708,51.245989366048,55.1282658612165,-257.135999318744,-343.634248250296,-328.457166221735,-393.897165261245,-653.896122352912,-704.762201673929,81.0333330063593,83.1611111958822,107.425595510574
,YYYY-00-DD 00:00:SS,67.75,64.0999984741211,67.1999969482422,65.3000030517578,5484108,65.3000030517578,1,83.1999998728434,76.4200002034505,75.3222213220563,80.5149417286014,92.3825180762729,-27.964697239287,-14.5846884781867,-27.0999984741211,-10.75,49.7656375068374,50.8461580546781,55.0298879130046,-243.71473753758,-286.117288081226,-339.591878341347,-358.040382446267,-662.263510914194,-677.088428521316,79.742856888544,82.9904762752472,107.08234154232
